"Tag_ID","Release_FK","Scan_date_time","Hex_tag_ID","Dec_tag_ID","Length","Notes","Release_date_time","Release_location","Capture_location","Capture_method","Species","Hatchery_status","Release_type","N_char"
31395,278,2024-03-18 10:12:00,"3D6.15346985F8","982.091073644024",55,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31396,278,2024-03-18 10:12:00,"3D6.1534698A51","982.091073645137",52,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31397,278,2024-03-18 10:13:00,"3D6.15346985F7","982.091073644023",57,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31398,278,2024-03-18 10:13:00,"3D6.1534698A3F","982.091073645119",52,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31399,278,2024-03-18 10:13:00,"3D6.15346985FF","982.091073644031",59,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31400,278,2024-03-18 10:14:00,"3D6.153469862A","982.091073644074",55,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31401,278,2024-03-18 10:14:00,"3D6.1534698633","982.091073644083",50,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31402,278,2024-03-18 10:14:00,"3D6.153469860F","982.091073644047",52,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31403,278,2024-03-18 10:15:00,"3D6.15346985FE","982.09107364403",55,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",15
31404,278,2024-03-18 10:19:00,"3D6.1534698A59","982.091073645145",58,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31405,278,2024-03-18 10:19:00,"3D6.1534698610","982.091073644048",51,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31406,278,2024-03-18 10:19:00,"3D6.1534698A3B","982.091073645115",57,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31407,278,2024-03-18 10:19:00,"3D6.153469861B","982.091073644059",49,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31408,278,2024-03-18 10:20:00,"3D6.1534698A28","982.091073645096",57,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31409,278,2024-03-18 10:21:00,"3D6.1534698A39","982.091073645113",51,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31410,278,2024-03-18 10:21:00,"3D6.15346985BD","982.091073643965",59,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31411,278,2024-03-18 10:21:00,"3D6.1534698620","982.091073644064",62,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31412,278,2024-03-18 10:21:00,"3D6.1534698614","982.091073644052",53,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31413,278,2024-03-18 10:22:00,"3D6.1534698608","982.09107364404",57,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",15
31414,278,2024-03-18 10:22:00,"3D6.1534698A49","982.091073645129",49,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31415,278,2024-03-18 10:23:00,"3D6.1534698611","982.091073644049",49,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31416,278,2024-03-18 10:23:00,"3D6.1534698625","982.091073644069",54,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31417,278,2024-03-18 10:23:00,"3D6.153469860A","982.091073644042",53,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31418,278,2024-03-18 10:23:00,"3D6.1534698A5B","982.091073645147",48,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31419,278,2024-03-18 10:24:00,"3D6.15346985F5","982.091073644021",50,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31420,278,2024-03-18 10:24:00,"3D6.1534698607","982.091073644039",49,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31421,278,2024-03-18 10:25:00,"3D6.1534698A3E","982.091073645118",52,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31422,278,2024-03-18 10:26:00,"3D6.153469860C","982.091073644044",56,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31423,278,2024-03-18 10:27:00,"3D6.1534698A3A","982.091073645114",58,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31424,278,2024-03-18 10:27:00,"3D6.15346985EE","982.091073644014",60,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31425,278,2024-03-18 10:28:00,"3D6.153469861A","982.091073644058",59,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31426,278,2024-03-18 10:28:00,"3D6.153469861C","982.09107364406",59,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",15
31427,278,2024-03-18 10:30:00,"3D6.15346985BF","982.091073643967",64,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31428,278,2024-03-18 10:30:00,"3D6.1534698A22","982.09107364509",58,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",15
31429,278,2024-03-18 10:30:00,"3D6.1534698A3C","982.091073645116",62,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31430,278,2024-03-18 10:31:00,"3D6.15346985ED","982.091073644013",53,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31431,278,2024-03-18 10:31:00,"3D6.153469861E","982.091073644062",60,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31432,278,2024-03-18 10:31:00,"3D6.1534698615","982.091073644053",55,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31433,278,2024-03-18 10:32:00,"3D6.1534698621","982.091073644065",54,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31434,278,2024-03-18 10:32:00,"3D6.153469860D","982.091073644045",57,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31435,278,2024-03-18 10:32:00,"3D6.1534698628","982.091073644072",55,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31436,278,2024-03-18 10:32:00,"3D6.1534698619","982.091073644057",60,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31437,278,2024-03-18 10:33:00,"3D6.1534698A66","982.091073645158",56,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31438,278,2024-03-18 10:33:00,"3D6.15346985CD","982.091073643981",55,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31439,278,2024-03-18 10:33:00,"3D6.153469862D","982.091073644077",52,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31440,278,2024-03-18 10:34:00,"3D6.1534698A30","982.091073645104",51,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31441,278,2024-03-18 10:34:00,"3D6.15346985C6","982.091073643974",54,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31442,278,2024-03-18 10:34:00,"3D6.153469862F","982.091073644079",50,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31443,278,2024-03-18 10:34:00,"3D6.15346985E9","982.091073644009",54,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31444,278,2024-03-18 10:35:00,"3D6.15346985E5","982.091073644005",53,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31445,278,2024-03-18 10:35:00,"3D6.1534698600","982.091073644032",55,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31446,278,2024-03-18 10:36:00,"3D6.15346985C0","982.091073643968",53,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31447,278,2024-03-18 10:37:00,"3D6.15346985D5","982.091073643989",56,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31448,278,2024-03-18 10:37:00,"3D6.1534698626","982.09107364407",50,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",15
31449,278,2024-03-18 10:37:00,"3D6.1534698A54","982.09107364514",52,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",15
31450,278,2024-03-18 10:37:00,"3D6.153469860E","982.091073644046",57,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31451,278,2024-03-18 10:38:00,"3D6.1534698A56","982.091073645142",55,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31452,278,2024-03-18 10:38:00,"3D6.15346985E8","982.091073644008",62,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31453,278,2024-03-18 10:38:00,"3D6.1534698636","982.091073644086",57,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31454,278,2024-03-18 10:39:00,"3D6.15346985EF","982.091073644015",61,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31455,278,2024-03-18 10:39:00,"3D6.153469861D","982.091073644061",54,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31456,278,2024-03-18 10:40:00,"3D6.15346985C8","982.091073643976",57,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31457,278,2024-03-18 10:40:00,"3D6.1534698A47","982.091073645127",52,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31458,278,2024-03-18 10:40:00,"3D6.1534698A32","982.091073645106",62,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31459,278,2024-03-18 10:41:00,"3D6.15346985E1","982.091073644001",55,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31460,278,2024-03-18 10:41:00,"3D6.1534698A64","982.091073645156",64,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31461,278,2024-03-18 10:41:00,"3D6.15346985C1","982.091073643969",56,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31462,278,2024-03-18 10:42:00,"3D6.1534698A20","982.091073645088",55,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31463,278,2024-03-18 10:42:00,"3D6.15346985C7","982.091073643975",56,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31464,278,2024-03-18 10:42:00,"3D6.1534698637","982.091073644087",53,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31465,278,2024-03-18 10:43:00,"3D6.15346985B7","982.091073643959",51,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31466,278,2024-03-18 10:43:00,"3D6.15346985E0","982.091073644",56,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",13
31467,278,2024-03-18 10:44:00,"3D6.15346985D8","982.091073643992",52,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31468,278,2024-03-18 10:44:00,"3D6.1534698A58","982.091073645144",56,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31469,278,2024-03-18 10:44:00,"3D6.15346985C9","982.091073643977",55,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31470,278,2024-03-18 10:45:00,"3D6.1534698A60","982.091073645152",50,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31471,278,2024-03-18 10:45:00,"3D6.153469860B","982.091073644043",53,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31472,278,2024-03-18 10:45:00,"3D6.15346985FB","982.091073644027",49,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31473,278,2024-03-18 10:46:00,"3D6.1534698A2B","982.091073645099",55,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31474,278,2024-03-18 10:46:00,"3D6.15346985E6","982.091073644006",52,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31475,278,2024-03-18 10:47:00,"3D6.15346985BC","982.091073643964",54,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31476,278,2024-03-18 10:47:00,"3D6.1534698A27","982.091073645095",52,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31477,278,2024-03-18 10:47:00,"3D6.15346985D6","982.09107364399",55,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",15
31478,278,2024-03-18 10:47:00,"3D6.1534698A2C","982.0910736451",50,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",14
31479,278,2024-03-18 10:48:00,"3D6.1534698603","982.091073644035",54,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31480,278,2024-03-18 10:49:00,"3D6.153469862B","982.091073644075",51,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31481,278,2024-03-18 10:49:00,"3D6.15346985F3","982.091073644019",51,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31482,278,2024-03-18 10:49:00,"3D6.1534698A2D","982.091073645101",55,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31483,278,2024-03-18 10:51:00,"3D6.1534698A50","982.091073645136",60,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31484,278,2024-03-18 10:51:00,"3D6.1534698A5F","982.091073645151",56,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31485,278,2024-03-18 10:51:00,"3D6.1534698601","982.091073644033",54,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31486,278,2024-03-18 10:52:00,"3D6.1534698A62","982.091073645154",54,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31487,278,2024-03-18 10:52:00,"3D6.1534698629","982.091073644073",52,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31488,278,2024-03-18 10:52:00,"3D6.15346985C2","982.09107364397",61,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",15
31489,278,2024-03-18 10:53:00,"3D6.15346985DC","982.091073643996",55,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31490,278,2024-03-18 10:53:00,"3D6.1534698A68","982.09107364516",52,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",15
31491,278,2024-03-18 10:54:00,"3D6.15346985EA","982.09107364401",55,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",15
31492,278,2024-03-18 10:54:00,"3D6.1534698A35","982.091073645109",55,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31493,278,2024-03-18 10:54:00,"3D6.1534698A25","982.091073645093",52,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31494,278,2024-03-18 10:54:00,"3D6.15346985DD","982.091073643997",54,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31495,278,2024-03-18 10:55:00,"3D6.1534698A34","982.091073645108",59,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31496,278,2024-03-18 10:55:00,"3D6.15346985BA","982.091073643962",53,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31497,278,2024-03-18 10:56:00,"3D6.1534698635","982.091073644085",53,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31498,278,2024-03-18 10:56:00,"3D6.1534698623","982.091073644067",50,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
31499,278,2024-03-18 10:56:00,"3D6.15346985D2","982.091073643986",52,NA,2024-03-20 19:40:00,"WDFW Screw Trap","Soos Creek Hatchery","Hatchery","Chinook","Hatchery origin","Experimental",16
